"Year","Annual Average Mean Surface Air Temperature","Trend 1951-2020","Trend 1971-2020","Trend 1991-2020"
1950,22.6
1951,22.79,23.018064386317928
1952,23.1,23.033669145306643
1953,23.28,23.049273904295358
1954,22.72,23.06487866328407
1955,22.55,23.080483422272785
1956,22.34,23.0960881812615
1957,23.51,23.111692940250215
1958,23.82,23.127297699238927
1959,23.36,23.142902458227642
1960,23.25,23.158507217216357
1961,23.34,23.174111976205072
1962,23.32,23.189716735193787
1963,23.62,23.2053214941825
1964,23.49,23.220926253171214
1965,23.55,23.23653101215993
1966,23.62,23.252135771148644
1967,23.35,23.26774053013736
1968,23.35,23.28334528912607
1969,23.79,23.298950048114786
1970,23.46,23.3145548071035
1971,22.91,23.330159566092217,23.136917647058837
1972,23.47,23.34576432508093,23.15854549819929
1973,23.59,23.361369084069644,23.18017334933975
1974,23.14,23.37697384305836,23.201801200480205
1975,23.01,23.392578602047074,23.22342905162066
1976,23.21,23.40818336103579,23.245056902761117
1977,23.58,23.4237881200245,23.266684753901572
1978,23.5,23.439392879013216,23.288312605042027
1979,23.61,23.45499763800193,23.30994045618248
1980,23.84,23.470602396990646,23.33156830732294
1981,23.51,23.486207155979358,23.353196158463394
1982,23.43,23.501811914968073,23.37482400960385
1983,23.76,23.517416673956788,23.396451860744307
1984,22.99,23.533021432945503,23.41807971188476
1985,23.21,23.54862619193422,23.439707563025216
1986,23.14,23.56423095092293,23.461335414165674
1987,23.78,23.579835709911645,23.48296326530613
1988,23.54,23.59544046890036,23.504591116446583
1989,23.12,23.611045227889075,23.52621896758704
1990,23.41,23.626649986877787,23.547846818727496
1991,23.6,23.642254745866502,23.56947466986795,23.32961290322579
1992,23.61,23.657859504855217,23.59110252100841,23.365708565072286
1993,23.38,23.673464263843933,23.612730372148864,23.401804226918784
1994,23.39,23.689069022832648,23.63435822328932,23.43789988876528
1995,23.65,23.70467378182136,23.655986074429777,23.47399555061178
1996,23.2,23.720278540810074,23.67761392557023,23.510091212458274
1997,23.75,23.73588329979879,23.699241776710686,23.546186874304773
1998,23.96,23.751488058787505,23.72086962785114,23.58228253615127
1999,23.09,23.76709281777622,23.7424974789916,23.618378197997767
2000,23.28,23.78269757676493,23.764125330132053,23.654473859844263
2001,23.48,23.798302335753647,23.785753181272508,23.69056952169076
2002,23.73,23.813907094742362,23.807381032412966,23.726665183537257
2003,23.73,23.829511853731077,23.82900888355342,23.762760845383752
2004,23.79,23.84511661271979,23.850636734693875,23.79885650723025
2005,24,23.860721371708504,23.872264585834333,23.834952169076747
2006,23.81,23.87632613069722,23.893892436974788,23.871047830923246
2007,23.91,23.891930889685934,23.915520288115243,23.90714349276974
2008,23.74,23.90753564867465,23.9371481392557,23.94323915461624
2009,24.02,23.92314040766336,23.958775990396155,23.979334816462735
2010,24.27,23.938745166652076,23.98040384153661,24.015430478309234
2011,23.87,23.95434992564079,24.002031692677065,24.05152614015573
2012,23.88,23.969954684629506,24.023659543817523,24.087621802002225
2013,24.04,23.985559443618218,24.045287394957978,24.123717463848724
2014,24.18,24.001164202606933,24.066915246098432,24.15981312569522
2015,24.41,24.01676896159565,24.08854309723889,24.19590878754172
2016,24.54,24.032373720584363,24.110170948379345,24.232004449388214
2017,24.28,24.04797847957308,24.1317987995198,24.268100111234713
2018,24.1,24.06358323856179,24.153426650660258,24.304195773081208
2019,24.38,24.079187997550505,24.175054501800712,24.340291434927707
2020,24.52,24.09479275653922,24.196682352941167,24.376387096774202
